level_loop.thisRepN,level_loop.thisTrialN,level_loop.thisN,level_loop.thisIndex,practiceRepeat.thisRepN,practiceRepeat.thisTrialN,practiceRepeat.thisN,practiceRepeat.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,blokk_loop.thisRepN,blokk_loop.thisTrialN,blokk_loop.thisN,blokk_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instr_instr.started,instr_instr.stopped,instr_tovabb.keys,instr_tovabb.rt,instr_tovabb.started,instr_tovabb.stopped,kezesseg_instr.started,kezesseg_instr.stopped,kezesseg_resp.keys,kezesseg_resp.rt,kezesseg_resp.started,kezesseg_resp.stopped,lvl_instr.started,lvl_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,pract_inst_text.started,pract_inst_text.stopped,pract_inst_key.keys,pract_inst_key.rt,pract_inst_key.started,pract_inst_key.stopped,pract_stim_frakt.started,pract_stim_frakt.stopped,pract_resp.keys,pract_resp.rt,pract_resp.started,pract_resp.stopped,ISI.started,ISI.stopped,feladat_blokk,Fraktál,All_keys,All_RT,Answer_key,Answer RT,Response type,Correctness,repeat_pract_text.started,repeat_pract_text.stopped,repeat_practice_key.keys,repeat_practice_key.rt,repeat_practice_key.started,repeat_practice_key.stopped,szunet_text.started,szunet_text.stopped,szunet_key.keys,szunet_key.rt,szunet_key.started,szunet_key.stopped,stim_frakt.started,stim_frakt.stopped,key_resp.keys,key_resp.started,key_resp.stopped,trial_ISI.started,trial_ISI.stopped,key_resp.rt,blokk_szun_text.started,blokk_szun_text.stopped,blokk_szun_resp.keys,blokk_szun_resp.rt,blokk_szun_resp.started,blokk_szun_resp.stopped,text.started,text.stopped,end_keys.keys,end_keys.rt,end_keys.started,end_keys.stopped,Azonosító,Életkor (év),Nem,Domináns kéz,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,22.079359900000043,None,space,1.8000466000000301,22.079359900000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
,,,,,,,,,,,,,,,,,,,,,,,,,,23.896117900000036,None,j,2.575281299999972,23.896117900000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,26.52946410000004,None,space,7.469928700000025,26.52946410000004,None,34.04633430000001,None,['space'],[1.4969581999999946],34.04633430000001,None,35.8627156,None,['u'],[1.0806613000000311],35.8627156,None,0.00806313000003911,0.3080631300000391,nback_1_practice,S,['u'],[1.0806613000000311],u,1.0806613000000311,false alarm,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.27939500000002,39.079460100000006,None,,37.27939500000002,None,0.0111436299999923,0.3111436299999923,nback_1_practice,L,None,[],no_resp,None,correct rejection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.87951680000003,42.6796827,None,,40.87951680000003,40.579528700000026,0.01374952999992729,0.3137495299999273,nback_1_practice,D,None,[],no_resp,None,correct rejection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.479708500000015,46.27996760000002,None,,44.479708500000015,44.17969930000004,0.01441962999996349,0.3144196299999635,nback_1_practice,Z,None,[],no_resp,None,correct rejection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.08008590000003,None,['u'],[0.4233904000000166],48.08008590000003,47.78003590000003,0.014475429999947664,0.31447542999994765,nback_1_practice,Z,['u'],[0.4233904000000166],u,0.4233904000000166,hit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.84667950000005,50.646780300000046,None,,48.84667950000005,None,0.011461029999907169,0.31146102999990716,nback_1_practice,Q,None,[],no_resp,None,correct rejection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.44686010000004,54.2468834,None,,52.44686010000004,52.14683640000004,0.013909630000000561,0.31390963000000055,nback_1_practice,L,None,[],no_resp,None,correct rejection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.04693950000001,57.847015,None,,56.04693950000001,55.7469188,0.013638029999924584,0.3136380299999246,nback_1_practice,Z,None,[],no_resp,None,correct rejection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexproba_nobuttn,24,férfi,jobb,2021_Mar_10_1224,nback_task_v1,2021.1.2,60.0007800101518,
